1365120000,11810,195752,243,0,0,0
1365120060,25381,588177,0,0,0,0
1365120120,33747,867855,333,90,0,0
1365120180,7722,64926,243,0,0,0
1365120240,34960,821331,90,90,0,0
1365120300,24454,605435,486,0,0,0
1365120360,43757,1383460,243,0,0,0
1365120420,29720,724371,2250,2250,0,0
1365120480,70306,2238196,90,90,0,0
1365120540,34363,988669,243,0,0,0
1365120600,61972,1891181,92,0,0,0
1365120660,26336,591364,1231,180,0,0
1365120720,45004,1529916,3313,0,0,0
1365120780,45318,1238041,0,0,0,0
1365120840,35561,1122208,499,0,0,0
1365120900,8477,45270,243,0,0,0
1365120960,35839,1031263,360,360,0,0
1365121020,31178,700808,486,0,0,0
1365121080,11552,193495,243,0,0,0
1365121140,26936,680411,20430,90,0,0
1365121200,63699,2055327,0,0,0,0
1365121260,15878,280303,423,180,0,0
1365121320,7415,10803,184,0,0,0
1365121380,4014,5851,243,0,0,0
1365121440,6354,9410,1593,1350,74,0
1365121500,7250,9899,180,180,74,0
1365121560,5420,6855,1143,0,0,0
1365121620,36014,1015456,609,90,0,0
1365121680,55647,1862809,128,0,0,0
1365121740,39955,1258872,742,0,0,0
1365121800,29385,818197,243,0,0,0
1365121860,26023,706410,3312,0,0,0
1365121920,23133,606621,0,0,0,0
1365121980,15320,307335,5103,4860,0,0
1365122040,14318,247832,3784,3600,0,0
1365122100,16473,322121,243,0,0,0
1365122160,17173,302949,333,90,0,0
1365122220,5825,8944,0,0,0,0
1365122280,6580,27040,333,90,0,0
1365122340,13218,203478,243,0,0,0
1365122400,19978,248449,0,0,0,0
1365122460,17266,295395,1386,0,0,0
1365122520,31665,1041367,3129,90,0,0
1365122580,22975,576455,0,0,0,0
1365122640,16879,411088,256,0,0,0
1365122700,36814,1137678,243,0,0,0
1365122760,19082,559875,274,90,0,0
1365122820,40537,1115407,243,0,0,0
1365122880,23008,621438,243,0,5698,0
1365122940,28198,818761,20430,90,74,0
1365123000,15647,339136,243,0,3996,0
1365123060,7243,62681,243,0,6660,0
1365123120,22611,478935,3420,3420,3256,0
1365123180,73479,2564314,576,90,4736,0
1365123240,24006,585486,243,0,4514,0
1365123300,41971,1471519,180,180,8658,0
1365123360,31937,891252,990,90,4514,0
1365123420,40235,1059257,243,0,0,0
1365123480,29607,643522,550,90,0,0
1365123540,32082,692030,949,450,0,0
1365123600,18634,349434,243,0,0,0
1365123660,23923,612992,0,0,0,0
1365123720,21649,549630,243,0,0,0
1365123780,32385,841882,243,0,0,0
1365123840,9619,58092,90,90,0,0
1365123900,33969,977884,666,180,0,0
1365123960,38862,1203800,243,0,0,0
1365124020,17447,384587,7290,7290,0,0
1365124080,8847,13261,5130,5130,0,0
1365124140,6718,33790,243,0,0,0
1365124200,31513,1087180,90,90,0,0
1365124260,38523,1259770,335,0,0,0
1365124320,15378,238775,5291,1260,0,0
1365124380,22943,565555,0,0,0,0
1365124440,54954,2041125,499,0,0,0
1365124500,33476,1029283,243,0,0,0
1365124560,43421,1319668,90,90,0,0
1365124620,35737,1128150,486,0,0,0
1365124680,38159,1085328,243,0,0,0
1365124740,21699,522861,20430,90,0,0
1365124800,10976,124325,90,90,0,0
1365124860,32665,1060322,243,0,0,0
1365124920,28460,790081,184,0,0,0
1365124980,30840,710288,243,0,0,0
1365125040,30751,1035925,243,0,0,0
1365125100,40503,1278317,90,90,0,0
1365125160,26871,749131,1773,1530,0,0
1365125220,14832,253618,1509,90,0,0
1365125280,8243,92085,90,90,0,0
1365125340,8292,70049,922,180,0,0
1365125400,31530,1026945,243,0,0,0
1365125460,31370,1025847,180,180,0,0
1365125520,51034,1765744,90,90,0,0
1365125580,60664,1979383,423,180,0,0
1365125640,11694,127599,184,0,0,0
1365125700,38371,1195191,243,0,0,0
1365125760,38434,1122392,243,0,0,0
1365125820,43992,1328465,0,0,0,0
1365125880,26255,641145,243,0,0,0
1365125940,28376,680908,243,0,0,0
1365126000,35741,806591,0,0,0,0
1365126060,33356,853252,486,0,0,0
1365126120,37177,852712,14379,9360,0,0
1365126180,19898,403908,0,0,0,0
1365126240,31683,690770,346,90,0,0
1365126300,31023,968500,243,0,0,0
1365126360,66050,2022377,274,90,0,0
1365126420,32498,733826,243,0,0,0
1365126480,36363,1097053,243,0,0,0
1365126540,46144,1346101,20340,0,0,0
1365126600,14011,180912,333,90,5476,0
1365126660,12659,154980,243,0,0,0
1365126720,19234,355483,0,0,3996,0
1365126780,35632,999514,486,0,9694,0
1365126840,26408,589583,243,0,370,0
1365126900,31327,433155,0,0,7178,0
1365126960,14499,381061,0,0,7844,0
1365127020,7942,11335,1233,90,7326,0
1365127080,5982,14086,460,0,2812,0
1365127140,10179,121682,499,0,0,0
1365127200,5784,15589,333,90,0,0
1365127260,36538,990128,0,0,0,0
1365127320,40164,1197082,333,90,0,0
1365127380,37033,1027314,6003,5760,0,0
1365127440,49842,1534057,90,90,0,0
1365127500,23315,581201,486,0,0,0
1365127560,31249,1031508,243,0,0,0
1365127620,21797,578586,270,270,0,0
1365127680,6532,10515,90,90,0,0
1365127740,12862,246099,333,90,0,0
1365127800,16478,332505,270,270,0,0
1365127860,32636,1034758,703,0,0,0
1365127920,31275,928768,515,180,0,0
1365127980,27340,690343,3418,0,0,0
1365128040,7111,35758,679,180,0,0
1365128100,21241,581746,3033,2790,0,0
1365128160,15967,328298,4860,4860,0,0
1365128220,32305,1029372,486,0,0,0
1365128280,21612,570128,243,0,0,0
1365128340,11413,104266,10260,90,0,0
1365128400,28142,837867,10260,90,0,0
1365128460,6376,10866,243,0,0,0
1365128520,5619,19843,184,0,0,0
1365128580,28081,759737,243,0,0,0
1365128640,39611,1152621,2583,2340,0,0
1365128700,32182,858121,0,0,0,0
1365128760,16959,400097,243,0,0,0
1365128820,14689,242616,789,270,0,0
1365128880,7628,35566,900,0,0,0
1365128940,28215,850182,742,0,0,0
1365129000,11173,127074,243,0,0,0
1365129060,17336,349864,0,0,0,0
1365129120,11464,115703,360,360,0,0
1365129180,8585,70894,243,0,0,0
1365129240,8553,50239,184,0,0,0
1365129300,22401,400336,243,0,0,0
1365129360,13354,187131,423,180,0,0
1365129420,17753,396024,90,90,0,0
1365129480,14548,292427,243,0,0,0
1365129540,23741,540001,243,0,0,0
1365129600,38326,949353,270,270,0,0
1365129660,25048,620681,1926,1440,0,0
1365129720,28906,609275,519,0,0,0
1365129780,18557,326354,3510,90,0,0
1365129840,5829,14545,256,0,0,0
1365129900,7063,11388,243,0,0,0
1365129960,4771,13543,184,0,0,0
1365130020,15064,291499,243,0,0,0
1365130080,14771,292417,243,0,0,0
1365130140,14836,241979,0,0,0,0
1365130200,5381,14035,25443,4860,0,0
1365130260,8904,131437,3663,3420,0,0
1365130320,29900,828025,0,0,3626,0
1365130380,21613,582484,1260,90,0,0
1365130440,25786,643119,333,90,0,0
1365130500,51353,683324,1632,0,11396,0
1365130560,34320,959762,684,0,0,0
1365130620,7070,76779,243,0,3552,0
1365130680,9596,67943,3766,90,10804,0
1365130740,12123,177592,499,0,6660,0
1365130800,17116,325108,927,0,1258,0
1365130860,21019,596991,0,0,0,0
1365130920,9839,38496,243,0,0,0
1365130980,13070,231766,1965,90,0,0
1365131040,5830,9273,1368,0,0,0
1365131100,31104,924314,1170,0,0,0
1365131160,16716,277853,243,0,0,0
1365131220,19568,570560,0,0,0,0
1365131280,20580,567885,3420,3420,0,0
1365131340,21054,555760,243,0,0,0
1365131400,28024,792622,90,90,0,0
1365131460,38445,1183396,333,90,0,0
1365131520,12047,126078,703,0,0,0
1365131580,20848,349397,2702,90,0,0
1365131640,13286,230609,1397,90,0,0
1365131700,42501,1533084,513,270,0,0
1365131760,9842,75008,90,90,0,0
1365131820,27677,822721,486,0,0,0
1365131880,26984,729300,243,0,0,0
1365131940,58642,1935531,0,0,0,0
1365132000,29519,793626,20430,90,0,0
1365132060,30567,885218,333,90,0,0
1365132120,31168,915010,274,90,0,0
1365132180,10707,82232,3033,2790,0,0
1365132240,13061,275184,9873,9630,0,0
1365132300,17494,526346,0,0,0,0
1365132360,34884,1070133,243,0,0,0
1365132420,9310,73268,609,90,0,0
1365132480,51257,1533873,1260,1260,0,0
1365132540,7679,68817,1642,0,0,0
1365132600,33659,776856,243,0,0,0
1365132660,34759,1125753,0,0,0,0
1365132720,14934,369789,90,90,0,0
1365132780,35507,1048493,243,0,0,0
1365132840,38524,1130584,184,0,0,0
1365132900,23574,618890,243,0,0,0
1365132960,14061,300217,333,90,0,0
1365133020,28826,638919,90,90,0,0
1365133080,6718,15216,243,0,0,0
1365133140,17982,516449,243,0,0,0
1365133200,14491,230595,0,0,0,0
1365133260,20063,391225,576,90,0,0
1365133320,18083,394042,2049,1530,0,0
1365133380,16006,339174,2520,0,0,0
1365133440,7973,12392,1336,180,0,0
1365133500,12394,252090,423,180,0,0
1365133560,14664,255132,274,90,0,0
1365133620,11060,59962,243,0,0,0
1365133680,8553,29197,423,180,0,0
1365133740,19611,563522,90,90,0,0
1365133800,14996,238465,20673,90,0,0
1365133860,22594,541249,243,0,0,0
1365133920,35635,1046929,0,0,0,0
1365133980,38998,1247771,486,0,0,0
1365134040,44361,1273253,243,0,5402,0
1365134100,49762,1508956,0,0,74,0
1365134160,56264,1860135,0,0,4070,0
1365134220,23356,667654,243,0,9694,0
1365134280,10617,61765,5320,4860,0,0
1365134340,31309,1020925,6979,5580,1554,0
1365134400,7098,57900,243,0,7474,0
1365134460,9461,60614,90,90,0,0
1365134520,21636,549525,243,0,592,0
1365134580,11771,262750,333,90,0,0
1365134640,16010,290553,0,0,0,0
1365134700,25844,530975,486,0,0,0
1365134760,14230,302259,333,90,0,0
1365134820,8957,69844,0,0,0,0
1365134880,6064,8952,0,0,0,0
1365134940,16130,249977,243,0,0,0
1365135000,6548,36593,0,0,0,0
1365135060,6601,27187,243,0,0,0
1365135120,15732,243713,703,0,0,0
